Final P(correct) Mean,Final P(zero) Mean,TrainingReturns Std,PolicyOutput_1 Mean,Rewards Std,Ys Max,Final P(correct) Min,Ys Std,TargetPolicyOutput_0 Max,Ys Min,Final P(zero) Max,QfOutput Min,TargetQfOutput Std,TargetQfOutput Min,PolicyOutput_0 Mean,DiscountedReturns Mean,TargetQfOutput Mean,Ys Mean,Rewards Min,TargetPolicyOutput_1 Mean,QfOutput Std,Rewards Mean,TargetPolicyOutput_0 Mean,PolicyOutput_1 Max,PolicyOutput_1 Std,TrainingReturns Mean,TargetPolicyOutput_1 Std,QfOutput Mean,Returns Std,PolicyOutput_0 Std,TargetPolicyOutput_0 Min,QfOutput Max,QfLoss,Rewards Max,AverageReturn,DiscountedReturns Std,PolicyOutput_0 Min,Final P(zero) Min,DiscountedReturns Min,TargetPolicyOutput_1 Min,Returns Mean,TargetQfOutput Max,Returns Min,Final P(correct) Max,TrainingReturns Max,Epoch,Returns Max,TrainingReturns Min,PolicyOutput_1 Min,TargetPolicyOutput_0 Std,PolicySurrogateLoss,TargetPolicyOutput_1 Max,Final P(correct) Std,PolicyOutput_0 Max,Final P(zero) Std,DiscountedReturns Max
0.00778258,-0.00280749,0.0,0.489404,0.0,-1.0,0.00778258,0.0,0.0,-1.0,-0.00280749,-0.988122,7.45058e-09,-0.04669,0.00248754,-1.0,-0.04669,-1.0,-1,0.0,1.19209e-07,-1.0,0.0,0.988394,0.498991,-1.0,0.0,-0.988122,0.0,0.00529504,0.0,-0.988122,0.000141079,-1,-1.0,0.0,-0.00280749,-0.00280749,-1.0,0.0,-1.0,-0.04669,-1,0.00778258,-1.0,0,-1,-1.0,-0.00958716,0.0,0.988122,0.0,4.65661e-10,0.00778258,2.32831e-10,-1.0
0.0181229,-0.0098031,0.0,0.478627,0.0,-1.0,0.0181229,0.0,0.0,-1.0,-0.0098031,-0.998407,2.23517e-08,-0.104603,0.00415988,-1.0,-0.104603,-1.0,-1,0.0,1.19209e-07,-1.0,0.0,0.977418,0.498791,-1.0,0.0,-0.998407,0.0,0.013963,0.0,-0.998407,2.53858e-06,-1,-1.0,0.0,-0.0098031,-0.0098031,-1.0,0.0,-1.0,-0.104603,-1,0.0181229,-1.0,1,-1,-1.0,-0.0201635,0.0,0.998407,0.0,0.0,0.0181229,0.0,-1.0
0.0331333,-0.0265657,0.0845645321233,0.466149,0.0,-0.703609,0.0331333,1.19209e-07,0.0,-0.703609,-0.0265657,-0.942147,0.0,-0.132368,0.00328377,-0.703608512878,-0.132368,-0.703608,-0.703608512878,0.0,5.96046e-08,-0.703608512878,0.0,0.966974,0.500825,-0.875436515808,0.0,-0.942147,0.0,0.0298495,0.0,-0.942147,0.0569005,-0.703608512878,-0.703608512878,0.0,-0.0265657,-0.0265657,-0.703608512878,0.0,-0.703608512878,-0.132368,-0.703608512878,0.0331333,-0.707631349564,2,-0.703608512878,-1.0,-0.0346753,0.0,0.942146,0.0,3.72529e-09,0.0331333,0.0,-0.703608512878
0.0593209,-0.055428,0.0839171723084,0.448755,0.0,-0.412397,0.0593209,1.19209e-07,0.0,-0.412397,-0.055428,-0.798272,2.98023e-08,-0.136059,0.00194646,-0.412396550179,-0.136059,-0.412396,-0.412396550179,0.0,5.96046e-08,-0.412396550179,0.0,0.956933,0.508178,-0.54225440383,0.0,-0.798272,0.0,0.0573745,0.0,-0.798272,0.1489,-0.412396550179,-0.412396550179,0.0,-0.055428,-0.055428,-0.412396550179,0.0,-0.412396550179,-0.136059,-0.412396550179,0.0593209,-0.414436936378,3,-0.412396550179,-0.703608512878,-0.0594231,0.0,0.798272,0.0,0.0,0.0593209,7.45058e-09,-0.412396550179
0.0825345,-0.0794502,0.0474385355813,0.43241,0.0,-0.247269,0.0825345,5.96046e-08,0.0,-0.247269,-0.0794502,-0.604013,1.49012e-08,-0.125336,0.00154215,-0.247269272804,-0.125335,-0.247269,-0.247269272804,0.0,1.19209e-07,-0.247269272804,0.0,0.946828,0.514417,-0.325420399904,0.0,-0.604013,0.0,0.0809924,0.0,-0.604013,0.127266,-0.247269272804,-0.247269272804,0.0,-0.0794502,-0.0794502,-0.247269272804,0.0,-0.247269272804,-0.125336,-0.247269272804,0.0825345,-0.248661160469,4,-0.247269272804,-0.412396550179,-0.0820069,0.0,0.604013,0.0,2.23517e-08,0.0825345,0.0,-0.247269272804
0.105599,-0.102877,0.0357593832742,0.415179,0.0,-0.124052,0.105599,7.45058e-09,0.0,-0.124052,-0.102877,-0.296834,2.23517e-08,-0.108883,0.00136122,-0.124052286148,-0.108883,-0.124052,-0.124052286148,0.0,2.98023e-08,-0.124052286148,0.0,0.935133,0.519954,-0.183458555937,0.0,-0.296834,0.0,0.104238,0.0,-0.296834,0.0298534,-0.124052286148,-0.124052286148,0.0,-0.102877,-0.102877,-0.124052286148,0.0,-0.124052286148,-0.108883,-0.124052286148,0.105599,-0.125116229057,5,-0.124052286148,-0.247269272804,-0.104775,0.0,0.296834,0.0,7.45058e-09,0.105599,0.0,-0.124052286148
0.120945,-0.118458,0.0200300111195,0.403176,0.0,-0.0562112,0.120945,1.11759e-08,0.0,-0.0562112,-0.118458,-0.0696484,1.49012e-08,-0.0970748,0.0012431,-0.056211233139,-0.0970748,-0.0562112,-0.056211233139,0.0,7.45058e-09,-0.056211233139,0.0,0.926146,0.52297,-0.0832745039463,0.0,-0.0696484,0.0,0.119702,0.0,-0.0696484,0.000180557,-0.056211233139,-0.056211233139,0.0,-0.118458,-0.118458,-0.056211233139,0.0,-0.056211233139,-0.0970748,-0.056211233139,0.120945,-0.0564978122711,6,-0.056211233139,-0.124052286148,-0.119793,0.0,0.0696484,0.0,7.45058e-09,0.120945,7.45058e-09,-0.056211233139
0.126621,-0.124181,0.00656064264458,0.398414,0.0,-0.0332793,0.126621,3.72529e-09,0.0,-0.0332793,-0.124181,-0.0484096,7.45058e-09,-0.0888433,0.00121985,-0.033279299736,-0.0888433,-0.0332793,-0.033279299736,0.0,3.72529e-09,-0.033279299736,0.0,0.921869,0.523455,-0.0446070241928,0.0,-0.0484096,0.0,0.125401,0.0,-0.0484096,0.000228926,-0.033279299736,-0.033279299736,0.0,-0.124181,-0.124181,-0.033279299736,0.0,-0.033279299736,-0.0888433,-0.033279299736,0.126621,-0.0334725379944,7,-0.033279299736,-0.056211233139,-0.125041,0.0,0.0484096,0.0,0.0,0.126621,2.98023e-08,-0.033279299736
0.128951,-0.12651,0.00243757861831,0.396326,0.0,-0.0241603,0.128951,5.58794e-09,0.0,-0.0241603,-0.12651,-0.0369764,1.49012e-08,-0.0827955,0.00122063,-0.0241602659225,-0.0827954,-0.0241603,-0.0241602659225,0.0,3.72529e-09,-0.0241602659225,0.0,0.919881,0.523555,-0.0276202297211,0.0,-0.0369764,0.0,0.127731,0.0,-0.0369764,0.000164253,-0.0241602659225,-0.0241602659225,0.0,-0.12651,-0.12651,-0.0241602659225,0.0,-0.0241602659225,-0.0827955,-0.0241602659225,0.128951,-0.024218916893,8,-0.0241602659225,-0.033279299736,-0.127229,0.0,0.0369764,0.0,0.0,0.128951,2.98023e-08,-0.0241602659225
0.130517,-0.128125,0.00175667737756,0.394872,0.0,-0.0181251,0.130517,0.0,0.0,-0.0181251,-0.128125,-0.0264389,7.45058e-09,-0.079287,0.00119595,-0.0181250572205,-0.079287,-0.0181251,-0.0181250572205,0.0,5.58794e-09,-0.0181250572205,0.0,0.9185,0.523628,-0.0211828815937,0.0,-0.0264389,0.0,0.129321,0.0,-0.0264389,6.91192e-05,-0.0181250572205,-0.0181250572205,0.0,-0.128125,-0.128125,-0.0181250572205,0.0,-0.0181250572205,-0.079287,-0.0181250572205,0.130517,-0.0181727409363,9,-0.0181250572205,-0.0241602659225,-0.128756,0.0,0.0264388,0.0,1.49012e-08,0.130517,1.49012e-08,-0.0181250572205
0.131376,-0.128947,0.000928328292972,0.394227,0.0,-0.0148444,0.131376,0.0,0.0,-0.0148444,-0.128947,-0.0218387,7.45058e-09,-0.0772954,0.00121485,-0.014844417572,-0.0772954,-0.0148444,-0.014844417572,0.0,1.86265e-09,-0.014844417572,0.0,0.918007,0.52378,-0.0164481556416,0.0,-0.0218387,0.0,0.130162,0.0,-0.0218387,4.89201e-05,-0.014844417572,-0.014844417572,0.0,-0.128947,-0.128947,-0.014844417572,0.0,-0.014844417572,-0.0772954,-0.014844417572,0.131376,-0.0148681402206,10,-0.014844417572,-0.0181250572205,-0.129553,0.0,0.0218387,0.0,1.49012e-08,0.131376,2.98023e-08,-0.014844417572
0.131433,-0.129,4.46238982991e-05,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0201684,7.45058e-09,-0.0758003,0.00121632,-0.0146288871765,-0.0758003,-0.0146289,-0.0146288871765,0.0,1.86265e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146504688263,0.0,-0.0201684,0.0,0.130217,0.0,-0.0201684,3.06861e-05,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0758003,-0.0146288871765,0.131433,-0.0146288871765,11,-0.0146288871765,-0.014844417572,-0.129606,0.0,0.0201684,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.018011,1.49012e-08,-0.0741328,0.00121632,-0.0146288871765,-0.0741328,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.018011,0.0,0.130217,0.0,-0.018011,1.14384e-05,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0741328,-0.0146288871765,0.131433,-0.0146288871765,12,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.018011,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.016265,7.45058e-09,-0.0724312,0.00121632,-0.0146288871765,-0.0724312,-0.0146289,-0.0146288871765,0.0,1.86265e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.016265,0.0,0.130217,0.0,-0.016265,2.67674e-06,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0724312,-0.0146288871765,0.131433,-0.0146288871765,13,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.016265,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0152315,0.0,-0.071065,0.00121632,-0.0146288871765,-0.071065,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0152315,0.0,0.130217,0.0,-0.0152315,3.63102e-07,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.071065,-0.0146288871765,0.131433,-0.0146288871765,14,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0152315,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0147797,7.45058e-09,-0.0701762,0.00121632,-0.0146288871765,-0.0701762,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0147797,0.0,0.130217,0.0,-0.0147797,2.27358e-08,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0701762,-0.0146288871765,0.131433,-0.0146288871765,15,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0147797,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146549,7.45058e-09,-0.0697059,0.00121632,-0.0146288871765,-0.0697059,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146549,0.0,0.130217,0.0,-0.0146549,6.7681e-10,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0697059,-0.0146288871765,0.131433,-0.0146288871765,16,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146549,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146327,0.0,-0.0695,0.00121632,-0.0146288871765,-0.0695,-0.0146289,-0.0146288871765,0.0,1.86265e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146327,0.0,0.130217,0.0,-0.0146327,1.43819e-11,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0695,-0.0146288871765,0.131433,-0.0146288871765,17,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146327,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146294,0.0,-0.0694191,0.00121632,-0.0146288871765,-0.0694191,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146294,0.0,0.130217,0.0,-0.0146294,2.22954e-13,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0694191,-0.0146288871765,0.131433,-0.0146288871765,18,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146294,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,1.49012e-08,-0.0693887,0.00121632,-0.0146288871765,-0.0693887,-0.0146289,-0.0146288871765,0.0,2.79397e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.52923e-15,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693887,-0.0146288871765,0.131433,-0.0146288871765,19,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,7.45058e-09,-0.0693774,0.00121632,-0.0146288871765,-0.0693774,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693774,-0.0146288871765,0.131433,-0.0146288871765,20,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693733,0.00121632,-0.0146288871765,-0.0693733,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693733,-0.0146288871765,0.131433,-0.0146288871765,21,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693717,0.00121632,-0.0146288871765,-0.0693717,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693717,-0.0146288871765,0.131433,-0.0146288871765,22,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693711,0.00121632,-0.0146288871765,-0.0693711,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693711,-0.0146288871765,0.131433,-0.0146288871765,23,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,1.49012e-08,-0.0693709,0.00121632,-0.0146288871765,-0.0693709,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693709,-0.0146288871765,0.131433,-0.0146288871765,24,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,25,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,26,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.50668e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,27,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.22045e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,28,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,1.95156e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,29,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,1.95156e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,30,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,0.0,-0.0693708,0.00121632,-0.0146288871765,-0.0693708,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,1.70003e-16,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693708,-0.0146288871765,0.131433,-0.0146288871765,31,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
